Erie County Jail,Census,322,353,386,382,375,356,348,357,337,375,358,327,313,-2.80%
,Boarded Out,1,1,2,2,3,3,2,2,3,3,2,2,0,-100.00%
,Boarded In,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,In House,321,352,384,380,372,353,346,355,334,372,356,325,313,-2.50%
,- Sentenced,31,41,44,40,46,46,50,49,40,45,40,34,32,3.20%
,- Civil,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00%
,- Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Technical Parole Violators,43,47,54,44,37,33,31,21,17,19,18,19,13,-69.80%
,- State Readies,4,5,4,1,0,2,2,1,0,1,0,1,2,-50.00%
,- Other Unsentenced **,243,258,283,295,290,272,264,284,277,307,298,272,265,9.10%
