Madison County Jail,Census,78,68,69,68,68,71,73,70,68,66,72,74,72,-7.70%
,Boarded Out,3,3,3,1,1,1,1,1,1,1,2,3,3,0.00%
,Boarded In,4,1,0,0,2,2,2,1,1,1,1,1,1,-75.00%
,In House,79,67,66,67,69,72,73,70,68,66,71,72,71,-10.10%
,- Sentenced,17,13,16,17,21,24,21,23,25,21,23,24,27,58.80%
,- Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
,- Federal,5,4,5,5,4,4,4,4,5,6,7,5,5,0.00%
,- Technical Parole Violators,7,7,4,3,1,2,3,2,2,2,3,2,3,-57.10%
,- State Readies,5,2,3,4,3,2,3,1,3,2,2,2,1,-80.00%
,- Other Unsentenced **,45,40,39,39,40,40,42,40,34,35,36,40,34,-24.40%
