"",,,Other Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv. &,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons*** Others,Misd.,Felony,Misd.,Pop.
Anderson,110,16,11,0,39,97,122,395
Bedford,18,0,1,2,34,21,78,154
Bedford Workhouse,9,3,0,0,44,0,0,56
Benton,17,1,6,27,11,23,40,125
Bledsoe,56,0,2,0,12,51,18,139
Blount,137,12,0,103,56,160,106,574
Bradley,96,23,40,46,128,129,45,507
Campbell,177,39,12,0,19,31,35,313
Cannon,1,10,0,0,21,14,14,60
Carroll,41,16,0,6,30,19,22,134
Carter,22,13,0,34,66,128,89,352
Cheatham,26,1,0,2,43,40,28,140
Chester,24,7,0,0,11,36,10,88
Claiborne,103,14,0,1,33,59,44,254
Clay,10,3,0,0,5,3,0,21
Cocke Jail,7,8,0,0,22,21,41,99
Cocke Annex,13,16,0,2,23,20,37,111
Coffee Annex,0,0,0,0,0,0,0,0
Coffee,62,37,0,0,58,92,129,378
Crockett,1,0,4,6,2,38,16,67
Cumberland,27,4,0,6,44,98,27,206
Davidson CJC,0,0,0,0,0,0,0,0
Davidson HDC,0,1,31,3,56,150,43,284
Davidson CDC,1,6,72,13,150,359,48,649
Davidson MCC,0,1,31,7,19,246,12,316
Davidson ORC,0,0,0,0,0,0,0,0
Davidson CCA (MDF),54,607,37,41,54,111,37,941
Decatur,14,0,0,0,7,34,5,60
DeKalb,3,2,0,0,21,17,43,86
Dickson,98,2,0,0,69,173,60,402
Dyer,51,0,0,0,25,72,22,170
Dyer Annex,40,2,0,0,1,0,0,43
Fayette,40,0,3,11,14,66,25,159
Fentress,42,0,8,1,59,28,30,168
Franklin,28,32,0,0,63,61,34,218
Gibson,107,10,0,0,37,84,60,298
Giles,27,25,0,0,42,60,16,170
Grainger Co. Det. Center,9,18,7,3,7,31,14,89
Greene Det. Center,18,5,0,14,25,108,32,202
Greene WH,35,6,0,0,89,41,16,187
Grundy,25,9,0,0,2,28,14,78
Hamblen,53,5,0,0,161,140,80,439
Hamilton Jail,1,0,22,60,13,272,80,448
Hamilton - Silverdale CCA,31,60,65,59,254,267,255,991
Hancock,61,17,0,0,17,14,19,128
Hardeman,19,3,3,0,8,73,4,110
Hardin,27,8,0,1,17,50,27,130
Hawkins,67,2,0,0,77,68,54,268
Haywood,0,25,0,14,12,67,7,125
Henderson,81,22,13,4,46,57,17,240
Henry,39,21,0,0,46,73,13,192
Hickman,11,11,2,0,4,63,0,91
Houston,14,0,7,2,4,1,5,33
Humphreys,19,5,0,0,34,45,21,124
Jackson,33,0,23,17,3,17,42,135
Jefferson,40,26,0,4,26,62,45,203
Jefferson WH,22,16,0,0,6,0,0,44
Johnson,30,5,4,0,6,37,26,108
Johnson City (F),0,76,0,0,0,0,0,76
Knox - KCJ,50,4,3,4,6,133,9,209
Knox - RDWDF,166,24,15,71,27,604,198,1105
Knox - KCWRC,13,1,1,2,9,40,33,99
Lake,19,0,0,0,7,13,8,47
Lauderdale,43,7,0,0,9,0,55,114
Lawrence,15,0,0,157,25,0,108,305
Lewis,0,4,1,2,2,17,20,46
Lincoln,25,18,1,0,40,48,20,152
Loudon,16,7,5,0,26,87,13,154
Macon,52,0,0,0,54,68,50,224
Madison Annex,14,2,0,0,12,13,11,52
Madison CJC,81,24,0,2,114,121,192,534
Madison PF,14,10,0,0,33,13,23,93
Marion,3,19,0,0,24,53,21,120
Marshall,48,9,0,0,51,28,9,145
Maury,54,32,0,0,89,107,49,331
McMinn,74,0,18,0,81,114,58,345
McNairy,10,0,0,0,2,41,35,88
Meigs,8,6,0,0,4,37,24,79
Monroe,51,27,4,4,67,79,49,281
Montgomery,57,9,0,12,61,269,74,482
Montgomery Workhouse,17,11,0,0,34,0,0,62
Moore,5,4,3,0,13,4,1,30
Morgan,11,0,0,0,16,7,52,86
Obion,24,16,5,69,4,27,16,161
Overton,35,5,3,0,22,28,31,124
Perry,24,10,0,2,0,6,4,46
Pickett,0,0,0,0,0,0,0,0
Polk,100,4,0,1,17,60,8,190
Putnam,113,28,10,0,114,77,55,397
Rhea,14,9,0,2,6,28,44,103
Roane,50,11,0,0,74,97,100,332
Robertson,227,22,0,0,106,134,43,532
Rutherford,246,37,0,0,63,501,90,937
Rutherford Work Center,0,110,0,0,51,0,0,161
Scott,58,0,0,0,30,56,9,153
Sequatchie,18,8,0,0,12,34,17,89
Sevier Jail,37,9,0,0,11,92,48,197
Sevier Annex,44,29,0,0,34,124,115,346
Shelby CJC,79,13,244,36,8,2222,167,2769
Shelby SCCC,410,1280,0,0,233,0,0,1923
Smith,56,3,0,0,25,32,19,135
Stewart,46,1,0,0,16,23,6,92
Sullivan,142,58,0,0,61,370,102,733
Sullivan Extension,39,16,0,0,62,137,80,334
Kingsport City,0,0,0,0,0,2,1,3
Sumner,142,81,0,0,175,411,99,908
Tipton,45,11,0,0,59,63,38,216
Trousdale,19,0,0,0,10,9,11,49
Unicoi Jail (M),25,0,2,0,4,20,25,76
Unicoi Annex (F),27,0,1,0,0,6,3,37
Union,4,1,7,1,4,12,62,91
Van Buren,1,13,4,6,20,16,18,78
Warren,24,30,11,0,92,20,67,244
"Washington Det, Center",81,30,11,72,166,197,77,634
Washington WH,18,2,2,0,14,0,0,36
Wayne,48,8,6,8,30,30,7,137
Weakley,26,11,0,0,16,15,23,91
White,17,5,15,0,69,36,29,171
Williamson,49,4,0,0,134,161,35,383
Wilson,101,26,21,57,93,88,149,535
